Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
cart3	lin7b	gnai1
shroom2a	dhdhl	zgc:153018
pithd1	stmn1b	jak1
apoda.1	atp6ap1a	grn1
ing5b	fmnl1a	zgc:158564
hoxc10a	acadsb	wasa
zgc:174862	prmt7	arl4aa
dbx1b	si:dkey-183p4.10	cpeb4b
hoxc3a	dbt	pfn2l
sh3rf1	hist1h2a2	nfkbiaa
kalrna	haus4	msna
BX571715.1	hbae1.3.1	rgs13
foxd3	eif2b4	ddx3xa
BX005073.3	pabpc4	arpc5a
pmela	si:cabz01074946.1	tnrc6a
FP236542.1	nup37	jun
rplp0	cldnb	gp9
sash1b	gstk1	calm2a
apc	wars1	rpl24
her9	clptm1l	vsir
zgc:63863	raver2	gabarapb
mrpl3	gpm6aa	ifi30
cdca8	ormdl2	nolc1
ctdsplb	pdgfab	zgc:92606
utp23	pfkpa	bloc1s6
sf3b4	elavl4	ddx5
qdpra	mthfd1l	ywhaz
gsta.1	cd8a	lonrf1l
si:ch211-133n4.4	txndc5	zap70
ybey	selenou1a	arl6ip1
hoxd10a	lbr	aqp1a.1
exosc7	sesn2	fmnl1a
trappc1	aqp1a.1	slc25a55a
ptges3a	rnf121	nanos1
selenoh	tuba1c	pycard
hgh1	gsto1	sla2
wu:fb64b08	wu:fj16a03	alas1
bmi1b	tmed4	hnrnpaba
inka1b	rcc1l	hsp70.1
nip7	h2ax	tmod4
ube2c	zgc:64051	calm3a
lin37	thrap3a	si:ch211-260e23.9
ddah2	skap1	srfbp1
zgc:194246	hist1h2a6	ppiab
fen1	tfdp2	mbd2
kif26ba	agps	baxa.1
psma6a	pbk	eif2s2
sf3a3	ptrhd1	si:dkey-112a7.4
bambib	riox2	si:ch211-196f19.1.1
gmfb	nova2	nova2
inka1a	relb	btg2
dus3l	cenpw	klf6a
sars1	dhodh	ifrd1
ftr56	grpel1	myl12.1
prkacaa	cd4-1	kdm6ba
ebna1bp2	aco2	eif4ebp1
adcy2b	dhrs3b	rps16
hax1	acbd7	hbae1.3
necab1	epcam	scgn
zgc:100829	rab1bb	traf1
mrps35	rfesd	cdv3
si:ch211-271e10.2	s100w	gabarapa
uri1	hmgcra	rhogb
dnajb6a	pbx3b	hsp90ab1
si:ch73-352p18.4	lcp1	anp32a
tpx2	si:ch1073-159d7.7	litaf
si:dkey-27p18.3	aspg	si:ch211-196l7.4
plgrkt	calua	tnrc6c1
si:ch211-210c8.7	hist1h4l.6	ccni
znf706	hmbsa	tln1
gbp1	pmpcb	marcksl1a
slmapb	spc24	prdx1
rbm28	psph	relb
setx	ptpn4b	si:ch211-161c3.6
dnajc8	tgfbr2b	arpc3
gadd45bb	lpar5a	pprc1
fam207a	zgc:66479	lcp2a
mplkip	alas2	cct6a
calcoco1a	kpna2	kdm6bb
nelfe	vim	mxi1
lypc	spint1a	lpar5a
fam92a1	antxr2a	si:dkey-188i13.10
znf593	zap70	nfkbiab
fam210aa	sdf2l1	zgc:152791
C2H7orf25	pmm2	ms4a17a.6
dock7	pelo	bnip3lb
hvcn1	rhbg	syk
CR352342.1	tnfrsf18	dnajb1b
ppat	b3gat2	myh11a
si:ch211-156b7.4	prkcbb	psmb9a
si:ch211-194e15.5	gdf6a	jund
dennd3a	cenph	prdx2
chrac1	si:ch211-195b11.3	arhgdia
got2b	gata3	notch2
bckdhbl	adrb2a	map3k14a
chaf1a	hivep2a	psmd4a
smim13	ptgdsb.2	sptlc2b
aurkb	znrf1	tubb4b
gbp2	dscc1	rpl19
sh3pxd2b	smdt1a	psma3
si:ch211-191i18.2	e2f8	si:ch73-335l21.4
