Positive Melanoma Markers	Positive Brain melanoma Markers	All Distinguishing Markers
		si:dkeyp-72g9.4
		abcc5
		ppp1r1c
		xrcc1
		ahcyl1
		emc9
		tmed8
		si:ch1073-296d18.1
		atp13a3
		mthfd1b
		spast
		rab39bb
		atp1b3a
		si:dkey-10p5.10
		heatr1
		fam214b
		si:rp71-46j2.7
		apaf1
		serpinb14
		ago4
		zcchc9
		nsd3
		ccr9b
		si:ch211-250k18.7
		rcn1
		timm29
		bloc1s4
		mier1a
		adnp2a
		errfi1a
		rgs14a
		col6a2
		acss2
		lef1
		PYURF
		prim1
		si:dkey-159f12.2
		vangl2
		si:ch211-286o17.1
		sncgb
		dnajc21
		ogt.1.1
		krt15
		CT583625.1
		stk25b
		GARRE1
		c1qtnf4
		CABZ01080568.1
		rbm25a
		lrch4
		slc35g2a
		rsf1b.1
		gatad2b
		cops7a
		cpeb4a
		rhebl1
		apoc1
		gzm3.3
		crnkl1
		pcdh17
		tcf25
		tspan7
		lfng
		khnyn
		hps1
		fyna
		sipa1l2
		pspc1
		hexa
		tshz3b
		si:ch73-299h12.6
		bcl10
		rcl1
		pnp4a
		trappc6b
		col5a2a
		stat5a
		mfap3l
		kin
		uqcrc1
		pcdh7b
		si:ch73-138e16.6
		fgfrl1a
		fryb
		chuk
		ncor1
		nuggc.1
		rnf115
		ppme1
		il15ra
		gpx4b
		naa25
		tmem208
		casc4
		nr2f6a
		mapre3b
		bmpr2b
		pafah1b3.1
		ftr05
		mia3
		C2H14orf119
		ess2
		psmd9
		pcdh7a
		parp16
		traf3
		rab3ab
		qdprb1
		bckdha
		ccdc167
		mapk14b
		spryd7a
		id4
		kat6a
		arid2
		jakmip2
		rnd3b
		unc50
		si:ch73-288o11.5
		zgc:174268
		kctd10
		styx
		znf576.1
		BX927081.1
		zgc:194443
		ptcd1
		srp72
		dcps
		fam114a2
		sdf4
		chchd4a
		cpvl
		raver2
		si:dkey-111e8.5
		rpp21
		si:ch211-194b1.1
		bcl6aa
		irgq1
		pik3ap1
		xrcc5
		sin3ab
		atp2b3b
		slc10a7
		faf1
		g2e3
		gnl1
		cx43
		polr3f
		mrpl47
		tm2d3
		dpf2
		fzd2
		ugdh
		lpar6b
		rab8a
		jac9
		dnajb1b
		slkb
		polr2gl
		med13a
		plaua
		slc4a10a
		elovl6
		ppfia4
		ocrl
		tspan33a
		pdzd8
		ednrba
		amer1
		rhpn2
		sfswap
		dcp2
		rnf121
		mycla
		zc2hc1a
		prkcea
		ramp2
		aclya
		si:ch73-141c7.1
		dffa
		ntpcr
		aifm2
		uxs1
		asph
		rgs5a
		ipo4
		dhrs1
		rac3b
		soul3
		tp53bp1
		rorcb
		pald1a
		ptprn2
		BX572619.1
		atoh8
		si:dkey-211g8.8
		dph5
		tox3
		bcat2
		washc2c
		zgc:152863
		si:dkey-58f10.10
		prdm2b
		ifih1
		gas2l1
		ddx46
		creb5a
		cnot3a
		mbd2
		snap91a
		sort1a
		epcam
		mafa
		lrrn1
		mterf3
		ptbp2b
		tex10
		sb:cb81
		cfdp1
		fstl3
		si:dkey-16l2.20
		BX120005.2
		actr6
		coq5
		abitram
		mab21l2
		pex14
		FO704779.1
		syne3
		mapk11
		adgrg1
		emc3
		ebf3a
		nrbp1
		igl4v8
		med12
		usp37
		scaf4b
		sec31a
		dynlt3
		kalrnb
		apba2b
		DHDH
		prrc1
		nom1
		vsnl1a
		SYDE1
		ivd
		kmt5ab
		myh9a
		igl3v5
		zbtb33
		zgc:92664
		kif4
		prkx
		src
		ing5a
		mgat1a
		josd2
		cnot4b
		gnptg
		MYO7B
		gdf6a
		ralgapa1
		si:dkey-205h13.1
		furinb
		CAMK2N1
		klf12a
		ing3
		cstf1
		vsnl1b
		kdm7aa
		uba3
		bpnt1
		si:dkey-58f10.11
		st8sia5
		il1fma
		pigbos1
		aldh1a2
		mtor
		ANPEP
		lyrm7
		ing2
		plod3
		p3h2
		fam102ab
		si:ch211-241b2.5
		en2a
		zzz3
		phf8
		mctp1a
		trim105
		ms4a17a.11
		lsg1
		strbp
		aspn
		znf710b
		cox8b
		eml1
		LO017815.1
		vps26bl
		prkcbp1l
		atf3
		lamtor5
		rbbp5
		pwwp2b
		islr2
		prkcda
		slc35a4
		yipf6
		CR762483.1
		c1galt1b
		tjap1
		cdkn1a
		zgc:194578
		bag4
		rab34b
		slc15a4
		hs6st2
		si:dkey-56i24.1
		samm50
		map7d2a
		arhgap31
		actr3
		dnajc5gb
		gatad2ab
		pcsk7
		zeb1a
		spdl1
		shq1
		tarbp2
		cep63
		shrprbck1r
		mob2a
		nab1b
		kat7b
		med15
		fut8a
		tapbpl
		atp2b3a
		suclg2
		si:ch211-271g18.1
		spns1
		sh3glb2b
		sh3tc2
		neurl1aa
		smarcad1a
		ccdc43
		si:ch211-281g13.4
		caskin1
		myo9ab
		nup205
		ggnbp2
		xirp2a
		dscc1
		im:7147486
		si:ch73-252p3.1
		si:ch73-42p12.2
		si:ch73-44m9.3.1
		flot2a
		pold3
		mydgf
		CU655842.1
		arfgef1
		trrap
		nras
		MRPL49
		snu13a
		pbx2
		slc4a7
		zmynd8
		zgc:66313
		rad23b
		tp53bp2a
		pacsin2
		PLBD2
		cnep1r1
		sec22a
		flot2b
		mt-nd4l
		syngr3a
		stag1b
		casp7
		pfas
		zic1
		otub1b
		isoc2
		psd2
		kirrel3l
		zgc:110366
		ighv1-4
		ccdc187
		msto1
		twist2
		ndel1a
		rab1bb
		rprd2a
		msl2b
		mcama
		tyrp1b
		exosc9
		pdcd7
		uba7
		lrp1ab
		si:dkey-31f5.8
		cited1
		apbb1
		tada3l
		lrmda
		ggctb
		cops5
		thrb
		ubn2b
		apooa
		tiam1a
		pi4kb
		mpped2a
		si:dkeyp-87e7.4
		coq3
		sipa1l3
		nudt3b
		cyth3a
		bdnf
		parp4
		hipk3a
		usf2
		si:dkey-75a21.2
		si:dkey-147f3.8
		adgre5b.3.1
		hsd17b12a
		wdr32
		fam172a
		znf148
		myh14
		capzb
		SCARF2
		caskb
		fam135a
		si:ch211-161h7.4
		rbm12b
		si:dkey-100n23.5
		slc38a3a
		gpn1
		pde3b
		prelp
		capn1a
		mcee
		slc10a3
		ipo11
		nrarpa
		pop7
		surf1
		zdhhc16a
		crlf1a
		si:ch211-230g15.5
		snx14
		polr3glb
		selenon
		itgae.1
		si:ch211-256a21.4
		si:ch211-244o22.2
		ptpn21
		ttc7b
		clasrp
		elmod1
		zgc:153911
		cdh1
		arrdc3a
		C10H21orf91
		tmem203
		atg101
		STMP1
		sorbs1
		lman1
		scrt2
		satb1b
		pou2f2a
		si:ch211-212d10.1
		cluha
		pelo
		arcn1b
		ufsp2
		trub2
		caspb
		abcf3
		thap4
		prc1b
		tmem9b
		flrt3
		phf12a
		ngly1
		tlk1a
		epd
		kif15
		nfs1
		prcc
		hmgcra
		riox2
		rorab
		vps13c
		zdhhc13
		zgc:136439
		itgb1b
		egln1b
		cmc2
		srrm4
		adh8b
		ptprna
		med27
		lrrc15
		ndst1b
		patz1
		tcea3
		lars1b
		rcc1l
		ubxn6
		dmap1
		TSTD1
		gab1
		si:dkey-9k7.3
		mettl17
		taok3a
		rgs2
		zgc:152891
		nr2f1a
		smdt1b
		nfatc2ip
		nlk2
		nrxn3a
		caly
		si:ch73-223f5.1
		bach1a
		taf1
		hps5
		usp22
		rmdn3
		nup107
		st7
		xrcc4
		immp2l
		C5HXorf56
		ppil3
		hspb1
		aldh18a1
		TPGS1
		smurf2
		suz12a
		rbms2a
		rab6ba
		zdhhc2
		wbp11
		zgc:63587
		tent5bb
		cenps
		mrpl51
		atl2
		asb7
		cadm3
		mettl5
		akap17a
		tab2
		cops3
		zgc:112496
		cx39.4
		si:ch211-213a13.2.1
		si:dkey-93n13.2
		ssuh2rs1
		znf16l
		nup35
		znrf2b
		rhot1a
		pum2
		suds3
		ska1
		fbxl4
		si:ch211-150g13.3
		mrpl22
		ttc27
		trir
		n4bp2
		antkmt
		arrdc2
		spout1
		grpel2
		ttll7
		si:dkey-29h14.10
		pcdh18b
		gins3
		dyrk1ab
		psmd5
		rdh14b
		arl6ip5b
		unm-sa1614
		lrrc20
		orc4
		rlf
		boc
		ppp1r26
		mbtps1
		COA4
		adob
		bnip2
		vrk2
		atp10d
		sgk1
		glg1a
		glipr1a
		ephx2
		ufd1l
		spsb4a
		cdc27
		rbm48
		acaa2
		znf451
		arid3a
		ppie
		ercc6l
		ptpa
		wdr18
		zgc:153990
		ptpn13
		si:dkey-12l12.1
		runx1t1
		si:ch211-183d21.1
		epc1b
		tbpl1
		lim2.2
		virma
		dhodh
		eif4eb
		zzef1
		casp8ap2
		cfap70
		kifc3
		rbm12
		cry-dash
		dctn1b
		slc35e4
		brwd1
		nexmifa
		s100b
		tmub1
		pdik1l
		mad1l1
		fhl3a
		zmat5
		mlec
		zgc:194224
		si:dkey-263j23.1
		si:dkey-71l4.4
		hmgcs1
		atad2
		ccnyl1
		kif2c
		si:ch1073-303k11.2
		UBE2M
		timm10b
		zgc:85777
		reps1
		ice1
		CABZ01046432.1
		faf2
		rnf145a
		im:6904045
		col12a1b
		trappc11
		nkl.4
		eloca
		vps52
		BX548011.2
		babam2
		setd3
		sgo1
		svbp
		si:ch211-166a6.5
		atp13a1
		pfkfb4a
		gpt2
		tmx2b
		nsrp1
		tnfsf14
		ddc
		rtn4ip1
		si:ch73-199g24.2
		zw10
		mpped2
		si:ch73-22o12.1
		polr1e
		mfsd13a
		kif5aa
		cinp
		cep131
		tmbim4
		chchd6a
		cuedc2
		si:dkey-28b4.8
		tmem165
		usp33
		sgf29
		usf1
		nptx1l
		dedd
		cep55l
		FO744833.1
		pbxip1a
		zgc:55733
		scp2b
		asns
		elp5
		trappc13
		gid8a
		si:ch211-195e19.1
		inppl1a
		rab13
		ccl39.6
		ddb1
		cdkn1ba
		uggt1
		nap1l4b
		tspan18a
		zbtb11
		zcchc10
		trappc6bl
		proza
		akap1b
		ctdspl2b
		trim13
		hist1h2a6
		mcrip1
		card11
		cd151l
		sirt6
		smg1
		megf8
		ranbp3b
		scyl1
		eif4g3b
		myclb
		agpat2
		slc39a6
		ppp1r37
		mfn1b
		pphln1
		llgl2
		rbms2b
		cfd
		zgc:109744
		aida
		zgc:163098
		si:ch73-252i11.1
		zgc:92335
		rnf38
		mthfd1l
		elac1
		letm1
		fam20b
		jac2
		bud13
		ints11
		inpp5b
		zgc:64065
		znf281a
		sec24b
		pard3ab
		creb3l2
		mrm3b
		icmt
		tbc1d14
		inpp5l
		zgc:171500
		hiat1a
		atg16l1
		spsb1
		ccdc130
		edc4
		si:ch73-71c20.5
		ecpas
		bloc1s5
		cdc42ep4b
		cisd1
		si:ch1073-170o4.1
		wdr4
		fam174b
		snx7
		stam2
		bola3
		si:ch1073-174d20.2
		psen1
		cisd2
		pdk2b
		rbm15
		mknk2a
		sh2b1
		ppm1ba
		hipk3b
		cplx2l
		si:dkey-260j18.2
		acbd6
		zgc:66474
		gpalpp1
		hoxa11b
		ctns
		si:dkey-18p12.4
		mxd3
		mrps5
		ftr43
		bpgm
		kbtbd2
		p4ha2
		pdrg1
		CABZ01061894.1
		nol10
		ntan1
		ugcg
		gnl3l
		ptgis
		pou3f3b
		ctr9
		slf2
		si:ch211-271b14.1
		ttc4
		rpusd4
		rad54l2
		zfand6
		mvb12ba
		zgc:161969
		rxrba
		ftsj1
		nrp1a
		znf687b
		galnt11
		insm1a
		LO018188.1
		rlim
		cbx8a
		cxcl14
		eapp
		spata5l1
		smpd2b
		oscp1a.1
		atp10a
		klhl11
		rnf165a
		prkaa1
		cacul1
		rbm17
		pcnp
		mtg2
		eif2s3
		nlrc5
		si:cabz01074946.1
		slc35f6
		lhfpl6
		chchd3a
		mob1ba
		mlx
		armh3
		pcca
		pip5k1aa
		golga5
		copb1
		irs1
		snupn
		lrch3
		ppp1r8b
		swi5
		relch
		bcor
		thap12a
		si:ch211-195b11.3
		ap4s1
		sorl1
		phtf1
		tpra
		eprs1
		ptrhd1
		tfcp2
		si:dkey-57k2.7.1
		eif3ha
		cipcb
		nipbla
		rbm33a
		creb3l3l
		sh3pxd2aa
		spred2a
		slc2a6
		snapc4
		gmeb1
		sufu
		yipf3
		gata1a
		lgmn
		jade3
		htt
		arl8
		galnt1
		cyhr1
		tsc22d2
		smim19
		osbpl2b
		mpp6b
		sema4ba
		otud3
		rnaseh1
		nfrkb
		cwc25
		def8
		map3k7
		wipf2a
		si:ch211-231f6.6
		golga4
		si:zfos-1192g2.3
		poldip3
		ube2g2
		dtd1
		mrps27
		hnrnpa0l
		opn5
		exoc3
		nde1
		fgfr1op2
		slc25a44b
		fibpa
		fbxw5
		sdr39u1
		rae1
		polr3k
		arhgap12b
		tmc6b
		camk2g2
		pane1
		cog2
		sox12
		nuak2
		nup88
		rdh12l
		psph
		bet1l
		zgc:110782
		hpf1
		klf3
		slc66a1
		haus7
		ikzf1
		eef1akmt2
		git1
		usp49
		dnajc19
		elp2
		ints3
		mprip
		larp4b
		urb1
		rai1
		kpna1
		gpn3
		tmem11
		med18
		pacc1
		trip11
		ppp6c
		rnf40
		znf703
		ttc5
		dbt
		zhx3
		akip1
		ascc1
		snapc1b
		cdk8
		bicra
		arl6
		cdk15
		nsmce4a
		hlfa
		trim33
		gyg1a
		C20H1orf198
		ndufaf2
		slc9a6a
		slc25a16
		si:ch211-154o6.3
		taf11
		pdxka
		ankrd28b
		ppp4r3b
		ptpmt1
		vps26b
		gpr108
		gopc
		arl2
		rangrf
		ubtd1b
		tcerg1a
		usp4
		rnf168
		apmap
		pcp4a
		snx30
		tle5
		triobpa
		birc5a
		tsen15
		xpot
		si:ch211-107o10.3
		mhc1zea
		nf1a
		trnt1
		zcchc7
		pygmb
		entr1
		smarcd2
		zgc:194981
		nelfb
		gins4
		znf644a
		si:dkey-68o6.6
		usp12a
		wdr37
		pcid2
		clcn3
		tent5ba
		trim47
		cryl1
		ube2al
		rdh14a
		mcm3ap
		kmt5b
		anapc15
		specc1la
		ccdc22
		chordc1a
		golph3
		cd7al
		nr1d2b
		clptm1
		atad2b
		sdhaf2
		cald1b
		gemin8
		xpo1a
		rab22a
		emg1
		rif1
		prr14
		nup98
		rbm34
		snapc5
		zgc:163061.1
		riox1
		sat2b
		hacd3
		pnpo
		fbxo5
		rbm26
		nsfb
		ctsba
		adar
		atpaf2
		LO018260.1
		med14
		eaf2
		hectd3
		zgc:172139
		mrps30
		praf2
		stard7
		CU570894.1
		ube3c
		si:ch73-376l24.3
		med13b
		mbpa
		dcaf8
		ppip5k2
		mbip
		rnf170
		supv3l1
		slc35b1
		tecrb
		ctdspl3
		prpf18
		sav1
		zgc:113348
		ftr50.2
		nufip1
		klhl22
		ube2q1
		rbm42
		fundc1
		bmf2
		mtg1
		cspp1b
		synrg
		rgmd
		med19b
		brd1a
		mgrn1b
		fndc3a
		cog4
		kcnn4
		acadl
		spty2d1
		hbegfb
		klhl21
		prkag1
		socs5b
		knstrn
		adipor1b
		terfa
		si:ch1073-322p19.1
		palld
		nucb2a
		zcrb1
		pdia6
		slc7a10a
		exoc7
		rangap1b
		snx3
		trabd
		dcun1d3
		TST
		ankrd13c
		becn1
		coq10b
		nr1h3
		FBXO48
		timmdc1
		SMIM10
		CPNE8
		taf6
		tax1bp1b
		snrnp25
		dpcd
		usp18
		eipr1
		mccc1
		fam193a
		atp6v1c1b
		gtf3c6
		pnpla6
		si:ch211-195d17.2
		smim7
		tkfc
		mettl2a
		carhsp1
		si:ch211-220f16.2
		hist1h4l.10
		ubr3
		fahd2a
		zgc:162339
		fam210aa
		homer3b
		smarca2
		gbf1
		si:dkey-21e2.10
		mpv17l2
		triobpb
		pcnt
		rtn3
		traf2b
		lancl1
		lyn.1
		atxn2
		chm
		fcho2
		mrrf
		kansl3
		svild
		brdt
		ZNF276
		acot9.1
		atrnl1b
		rps27l
		wu:fj16a03
		zgc:77880
		borcs7
		nelfcd
		slc25a12
		tgm1l1
		alms1
		ech1
		ppm1k
		frg1
		pias2
		hdac3
		fam50a
		idi1
		cep290
		ssbp4
		rps6kal
		ppp1r7
		aagab
		bik
		LO018605.1
		pcxa
		msl1b
		csnk2a2b
		krt5
		mmab
		ints1
		ncdn
		aktip
		rgcc
		gnb4b
		plscr3b
		dynlt1
		smim8
		znf292b
		fem1c
		pigf
		aff4
		si:ch73-109d9.2
		pank4
		ide
		si:ch211-262i1.6
		ndufa6
		pcgf5b
		trpc4apa
		nudcd3
		scaf4a
		coa3a
		skiv2l
		ctdp1
		ehd4
		eps15l1a
		atf1
		atg4a
		zc3h7ba
		mast2
		hsp70l
		chd3
		grpel1
		afg3l2
		krit1
		dpp9
		sec14l1
		ndufaf3
		tmem242
		cat
		dgcr6
		tiam2a
		cluap1
		triap1
		wwp1
		zgc:173587
		washc3
		ISCU
		ap5s1
		ciartb
		ccar1
		lmtk2
		znf410
		im:7151449
		casp3b
		tbc1d1
		ralba
		phf12b
		ftr67
		mt-atp8
		stoml2
		itga4
		si:ch211-85n16.3
		suz12b
		znf106a
		cd151
		ptpn23a
		golga1
		fam3c
		syvn1
		ubald1a
		gpatch3
		zmp:0000000624
		brms1
		gpatch11
		itsn1
		add1
		rreb1b
		cybc1
		tmf1
		parn
		snrka
		shoc2
		phrf1
		si:dkeyp-84f3.5
		si:dkey-28b4.7
		nosip
		zgc:101130
		si:dkey-238k10.2
		zc3h10
		map1b
		pogzb
		amfra
		psme3ip1
		chmp5b
		susd6
		rnf126
		si:dkey-182g1.6
		CABZ01087948.1
		glod4
		afmid
		si:dkey-46g23.1
		stx8
		si:ch211-203d1.3
		arhgap21b
		plpbp
		dcaf5
		rnpepl1
		bap1
		wdr41
		tmem110l
		aars1
		ppp2r2ab
		katnbl1
		aldh2.1
		mon2
		SGMS1
		pcm1
		foxk2
		tgfbr1b
		atp6v1e1a
		ankrd46a
		gstm.2
		grk6
		stx16
		foxo3b
		si:ch211-201o1.1
		znf131
		ero1b
		akt2
		kmt5c
		pla2g15
		fbxo25
		cdc25b
		rfk
		cdk5rap3
		sbds
		mis12
		gmppaa
		taz
		agr2
		si:dkey-51e6.1
		aifm1
		gtf2e1
		BX323564.1
		tmem39a
		gon4l
		tspy
		BX470259.2
		fzr1a
		slc31a2
		TUBB4B
		lnpep
		ints8
		abcd3a
		si:ch211-113a14.12
		ric8b
		ep400
		lrrfip2
		adka
		ENSDARG00000079639
		trappc4
		sh3glb1b
		arih1
		stx18
		atp7a
		b3galt2
		papolg
		aup1
		foxk1
		TOM1L2
		rprd1a
		rnf8
		pik3r3a
		phf23b
		rictora
		si:ch211-67e16.4
		mtres1
		alg11
		crfb1
		fam204a
		si:ch73-236c18.8.1
		pdss1
		adprm
		aqr
		mrpl58
		got1
		gpatch1
		cbx8b
		ankzf1
		ldb1b
		scaper
		oxsm
		stat6
		lmbrd1
		tcirg1a
		pom121
		slc6a22.1
		znf395b
		slc16a3
		ctif
		atg13
		igf2r
		C11H1orf50
		msra
		usp44
		pfkpb
		desi1b
		prf1.7.1
		pik3c2b
		si:dkey-72l14.4
		cpda
		flvcr2b
		znf1009.1
		mtmr14
		thap7
		oaz2a
		march7.2
		ptpn11b
		rpp30
		pknox1.1
		pan3
		kpna6
		wsb1
		si:dkey-188i13.8
		pdk2a
		taf2
		cript
		crebbpa
		dgcr2
		znf1124.1
		dnm2a
		man1a2
		sft2d1
		tdp2b
		cxxc1a
		lbr
		spoplb
		usp47
		pabpc1b
		znf143b
		slc23a2
		ppp1r11
		b4galt1l
		ino80b
		akap9
		ggh
		aven
		cpne3
		fbxw2
		tmem183a
		asxl2
		zgpat
		siah1
		zgc:100918
		hmox2a
		acox1
		si:dkey-266f7.5
		yif1a
		si:ch211-13k12.2
		zgc:101783
		prss16
		nubp2
		MTERF4
		prodha
		mlst8
		acsl1b
		slc25a28
		tmem230b
		cenpe
		cwc27
		tmem199
		znf280d
		cdk7
		si:ch73-238c9.1
		borcs8
		ezh1
		tnksa
		derl3
		actr10
		nr2f2
		csnk1g2a
		katnb1
		tle3a
		hsf1
		clasp1a
		si:dkey-95p16.2
		phospho2
		rab11ba
		fbxo11a.1
		rngtt
		unkl
		rc3h1b
		picalma
		cishb
		snapin
		zgc:77486
		gga1
		pdgfbb
		slc40a1
		glcci1a
		aggf1
		si:ch211-209l18.4
		fis1
		rab40b
		tegt
		arl4ab
		cldnb
		dcun1d2a
		si:dkeyp-44a8.2
		psme4b
		zdhhc18a
		irf2
		esco1
		gdap2
		phlpp1
		snf8
		lin54
		chfr
		jak2b
		isy1
		srpk1a
		ap3b1a
		tnpo3
		slc30a5
		phf20l1
		slc38a10
		ube2h
		ssna1
		stx5al
		pik3r2
		uvrag
		si:ch211-160o17.4
		ppil4
		stard3
		sap130a
		kat2b
		eya3
		sptlc1
		pycr1b
		copz2
		trmt10a
		ammecr1
		zgc:194659
		pip5k1bb
		ypel3
		ercc1
		PAQR9
		tmcc3
		dhrs4
		ubxn7
		gcdha
		tdrd7b
		SCYL2
		necap2
		tsr3
		si:ch211-161c3.6
		rab5c
		acss1
		tbcd
		hbs1l
		kmt2d
		dnaja3b
		derl1
		dnajc5ga
		tmcc1b
		nme7
		tmem39b
		zdhhc5a
		dnase1l4.2
		pigc
		sin3aa
		CABZ01066694.1
		ccnh
		khdc4
		poldip2
		tnksb
		paxx
		otud7b
		r3hcc1l
		zc3h14
		bbip1
		ap2s1
		auh
		ctsf
		edrf1
		rrm2b
		tfpt
		rpap3
		C7H11orf68
		tefa
		rab21
		zmpste24
		cbr1
		nfe2l1b
		mut
		dyrk1aa
		gramd4b
		arih1l
		pi4k2a
		ccdc84
		per3
		rab40c
		wdr45
		gmnn
		CABZ01041962.1
		sec23ip
		camk2g1
		snx27b
		tlcd2
		si:ch73-147o17.1
		mkrn1
		nae1
		nubp1
		rprd2b
		ecm1b
		tmem141
		ctps1b
		si:dkey-6e2.2
		memo1
		tex261
		thumpd3
		arf4a.1
		gripap1
		rnf175
		trip12
		snapc3
		usp42
		rap1ab
		tsc1b
		map2k4a
		exoc2
		anapc16
		si:dkey-66i24.7
		si:ch211-106e7.2
		ppp1cbl
		eif2s2
		si:ch211-15d5.12
		mt-nd6
		gabpb2a
		sphk2
		tchp
		pde10a
		raf1b
		rpn2
		sra1
		tmem115
		spata2
		selenos
		slc1a5
		sugt1
		bcl2l1
		ddi2
		commd8
		si:dkey-165n16.1
		zgc:56235
		im:7138535
		elob.1
		zgc:136864
		got2a
		fastk
		dars1
		paip1
		appbp2
		aplnrb
		trappc10
		nudt2
		bahd1
		naga
		tmem185
		lcmt1
		ambra1b
		tfdp1b
		mynn
		RANBP2
		mbd1a
		FBXO46
		znf330
		CR753886.1
		atg9a
		ostm1
		usp32
		gpbp1l1
		hnrnpdl
		clcn7
		asah1a
		ift20
		mmadhc
		ccdc32
		tssc4
		slc30a9
		mcrs1
		herpud2
		nadkb
		cnot11
		atp6v1d
		fgfr1op
		si:ch211-156j22.4
		ubn2a
		slc25a36a
		ndufs7
		slc7a8a
		atp2b1a
		bcas3
		blzf1
		FO704750.1
		sc:d217
		zfx
		ano5b
		leng9
		tbl2
		pim2
		rabgap1
		cry1a
		lyrm2
		ankrd39
		cry3a
		sec24c
		gps1
		exoc1
		naa35
		polr3e
		sccpdhb
		fkbp8
		sat1b
		tmem106ba
		znf770
		si:ch211-245h14.1
		bnip1b
		dop1a
		zgc:163080
		CU469526.1
		mtx2
		rnf145b
		get4
		gas8
		e2f4
		rab5ab
		sec23a
		appa
		cecr2
		ATG14
		aff2
		isca2
		preb
		csnk1db
		cyp20a1
		fbxl5
		dcaf12
		parvb
		ppp6r2a
		zgc:123105
		slc2a1b
		senp7b
		dennd4c
		gpr107
		cxcr3.3
		rnf128a
		nus1
		sae1
		nudt17
		rnf216
		numb
		cux1b
		ahctf1
		mospd1
		commd2
		cers1
		c2cd5
		zgc:113363
		sbno1
		si:ch73-390p7.2
		tbcela
		inpp5ka
		cldn17
		clic2
		ppm1bb
		mepce
		nrf1
		timeless
		si:ch211-140b10.6
		snrnp48
		HTRA2.6
		acyp1
		ccdc124
		washc4
		rev3l
		ibtk
		wapla
		rogdi
		rbck1
		fbxw7
		si:ch73-248e21.7
		abca3b
		yme1l1a
		tet1
		smchd1
		yipf5
		agap1
		arl8ba
		GMEB2
		smim20
		hsd3b7
		map7d2b
		ormdl1
		trappc2
		acp5b
		gpr155a
		farsa
		synj1
		ttf2
		eif2b2
		nrbf2b
		eif4enif1
		snx27a
		slmapa
		rnf14
		sik2b
		mindy3
		plaa
		ptpn4a
		spsb4b
		coq8aa
		trpt1
		MCUR1
		bida
		abcc1
		reep1
		pfn1
		arhgdig
		cotl1
		arpc1b
		coro1a
		rac2
		hmgn2
		hmgn3
		arpc2
		arpc3
		ponzr1
		crip1
		h1-10
		ptmaa
		glrx
		sh2d1ab
		myl12.1
		actb1
		zgc:162944
		hmgb2a
		sri
		arpc4
		zap70
		si:dkey-27i16.2
		wasb
		tmsb4x
		cfl1
		lcp1
		ptpn6
		cox6b1
		abracl
		GCA
		arpc4l
		scgn
		actb2
		hcls1
		wasa
		si:dkey-183i3.6
		psmb8a
		capgb
		rps17
		ap1s1
		si:dkeyp-85e10.3
		ndufa4
		rpl10a
		slc25a5
		tpt1
		rpl29
		rpl9
		rps28
		rps9
		rpl38
		dub
		wipf1a
		grap2a
		rps8a
		rps11
		rpl32
		rps13
		rpl8
		rplp2
		rps26l
		rps16
		rpl22
		rpl24
		cytip
		rps15a
		cox4i1l
		gig2i
		rpl23
		si:dkey-183p4.10
		rpl18a
		rps15
		rpl21
		zgc:171772
		rps29
		rpl39
		rps2
		rps23
		si:ch73-285p12.4
		rps27a
		rpsa
		rpl19
		arhgdia
		atp5mc3b
		gapdhs
		rpl27
		sla2
		rps3a
		vaspa
		zgc:77650
		cyth4a
		clic1
		arhgef3l
		rpl36a
		ftr06.1
		si:ch73-234b20.5
		si:dkey-78l4.4
		rplp2l
		tox
		eif3f
		TXN
		rps7
		calm1b
		prkacba
		pycard
		gzm3.2
		skap1
		lasp1
		psmb12
		id3
		si:ch211-222l21.1
		Sep-02
		rpl22l1
		fam49ba
		aldoaa
		hsp90ab1
		il13
		rpl3
		zgc:153654
		rps4x
		samsn1a
		krt8
		si:dkey-78l4.2
		cdc42l
		si:dkeyp-75b4.9
		rpl31
		ran
		hspa8
		psmb10
		marcksl1b
		rpl18
		rpl13
		ncaldb
		zgc:153867
		cox4i1
		eef1g
		rpl34
		myh11a
		rps6
		rpl7a
		capza1b
		rpl17
		unc13d
		rps19
		sat1a.2
		sash3
		tnip1
		actr2a
		icn
		mxd
		ms4a17c.1
		cox8a
		hint1
		lcp2b
		rab2a
		CU499336.2
		sub1a
		rps10
		atp5md
		ppiaa
		def6a
		krt18b
		sdc4
		eif5a2
		nkl.1
		ctsla
		fthl27
		rrm2
		eno1a
		batf3
		si:ch73-226l13.2
		rap1b
		rack1
		Sep-06
		rps14
		psmb9a
		ifng1
		rps25
		cox5aa
		mhc1zba
		ccl34b.4
		cox7b
		nfkbie
		ptmab
		faslg
		gzm3.4
		scinlb
		mafa
		rhogb
		atp1b1a
		si:ch211-250g4.3
		pabpc1a
		lrrfip1a
		b2ml
		slc25a3b
		samsn1b
		b2m
		alas2
		eif1b
		cahz
		si:dkey-276j7.2
		csk
		rsrp1
		rpl12
		sh3bgrl
		mhc1uba
		h2az2b
		ppiab
		foxp3a
		atp5l
		dut
		rps27.2
		dgkaa
		dnase1l4.2
		gng5
		rpl36
		mapre1a
		tnfaip8l2a
		snrpf
		hnrnpaba
		atp5pf
		si:ch211-218c6.8
		si:dkey-78l4.13
		si:dkey-151g10.6
		mob1a
		psme2
		rpl13a
		fth1a
		mif
		psmb13a
		tpi1b
		rpl5a
		tuba8l3
